Name;Price;Review;Score;Category;Subcategory;Store;Image;URL;Platform
SanDisk Extreme Pro SDXC UHS-I SD Card 128GB (SDSDXXY_128G_GN4IN);1,179;3;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t16/171/508144984/33110/f71ce23a/5c76c56cN2fceca79.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_2822955.html;JDCentral
Sandisk Ultra microSDXC Card Class10 A1 64GB อ่าน 120MB/s (SDSQUA4-064G-GN6MN) เมมโมรี่ แซนดิส โทรศัพท์ แท็บเล็ต Andriod;275;33;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Sandisk Shop;https://img.jd.co.th/n1/jfs/t10/316/11343039691/90249/cb5de903/623370e6N2ebb40b7.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1963331.html;JDCentral
32 GB MICRO SD CARD (ไมโครเอสดีการ์ด) SAMSUNG EVO PLUS CLASS 10 (MC32GA/APC) Memory 32GB;165;165;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;JIB Computer Group Authorized Store;https://img.jd.co.th/n1/jfs/t19/70/1781014495/52900/bd78635e/5dce69bbN70322662.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4121271.html;JDCentral
SanDisk Extreme microSDXC UHS-I A2 128GB ความเร็วสูงสุด อ่าน 160MB/s เขียน 90MB/s mrm (SDSQXA1-128G-GN6MN) 128G 128GB;639;33;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t4/21/201163385/162312/8d2b9f5/5bb64353N532db2d9.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1934803.html;JDCentral
MOZA Mini MX ไม้กันสั่นสำหรับสมาร์ทโฟน จัดส่งฟรี ของแท้รับประกัน 1 ปี support xiaomi iphone vivo oneplus mi 10t pro;2,600;22;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;MOZA Official Store;https://img.jd.co.th/n1/jfs/t16/33/4114275513/480783/d349686c/5f8e98a1Ndd8c17e9.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_12312194.html;JDCentral
SanDisk microSDHC Ultra ความเร็ว 100MB/S ความจุ 32GB Class10 (SDSQUNR-032G-GN3MN) เมมโมรี่ แซนดิส;195;73;99;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Sandisk Shop;https://img.jd.co.th/n1/jfs/t7/211/3647486285/288251/9ca86519/5f534a24N27e59f1b.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1963347.html;JDCentral
SanDisk MicroSD Extreme 128GB Speed 160mb/s เขียน 90mb/s (SDSQXA1-128G-GN6MN) แซนดิส เมมโมรี่ โทรศัพท์ Andriod Gopro5 6;575;1;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Actioncam Thailand;https://img.jd.co.th/n1/jfs/t7/11/6207247477/236409/e5f4b9b2/60669606N7e98fd75.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4040970.html;JDCentral
SanDisk Extreme microSD 64GB ความเร็วเขียน 160MB/s อ่าน 90MB/s (SDSQXA2_064G_GN6MA) เมมโมรี่ แซนดิส สำหรับ Gopro;375;2;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Sandisk Shop;https://img.jd.co.th/n1/jfs/t31/62/3897666145/228493/6cfb1787/5f9a6a4dN2e41aaf2.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_12785335.html;JDCentral
Kingston 64GB Canvas Select MicroSDXC Class 10 100 Mbs/ Memory Card + SD Adapterr (SDCS2/64GB);239;29;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Kingston Authorized Store;https://img.jd.co.th/n1/jfs/t31/341/4347722729/130904/1e1d290d/5fe463c7Ne53f8f75.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_2052892.html;JDCentral
Panasonic Eneloop Rechargeable AA 4pack Quick Pro Charger Kit 2hrs. (2500mAh);1,290;1;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;BEST2HOME;https://img.jd.co.th/n1/jfs/t19/349/2813632310/361044/66675269/5eacea40Nd589b835.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_7360343.html;JDCentral
